nohup: ignoring input
Linux 5.14.0-427.44.1.el9_4.x86_64 (bc488234cf69) 	11/22/24 	_x86_64_	(8 CPU)

22:33:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:37:49     all    3.26    0.00    1.76    0.00    0.38    0.63    0.00    0.00    0.00   93.98
22:37:50     all    4.04    0.00    1.26    0.00    0.25    0.13    0.00    0.00    0.00   94.33
22:37:51     all    7.38    0.00    3.38    0.13    0.63    0.88    0.25    0.00    0.00   87.36
22:37:52     all    4.53    0.00    2.64    0.13    0.50    0.13    0.13    0.00    0.00   91.94
22:37:53     all    2.89    0.00    1.38    0.13    0.25    0.38    0.00    0.00    0.00   94.97
22:37:54     all    2.88    0.00    1.75    0.00    0.63    0.38    0.00    0.00    0.00   94.37
22:37:55     all    5.62    0.00    2.25    0.12    0.25    0.62    0.00    0.00    0.00   91.14
22:37:56     all    8.41    0.00    1.76    0.13    0.75    0.38    0.00    0.00    0.00   88.58
22:37:57     all    6.91    0.00    2.51    0.00    0.38    0.63    0.00    0.00    0.00   89.57
22:37:58     all    3.15    0.00    1.64    0.00    0.63    0.50    0.00    0.00    0.00   94.07
22:37:59     all    3.28    0.00    2.02    0.00    0.25    0.38    0.00    0.00    0.00   94.07
22:38:00     all    3.13    0.00    1.38    0.13    0.50    0.50    0.13    0.00    0.00   94.24
22:38:01     all    4.65    0.00    2.77    0.13    0.50    0.38    0.00    0.00    0.00   91.57
22:38:02     all    8.08    0.00    3.54    0.00    0.51    0.38    0.00    0.00    0.00   87.50
22:38:03     all    2.90    0.00    1.77    0.13    0.50    0.50    0.00    0.00    0.00   94.20
22:38:04     all    8.91    0.00    2.51    0.13    0.38    0.50    0.00    0.00    0.00   87.58
22:38:05     all   14.72    0.00    2.26    0.13    0.63    0.50    0.00    0.00    0.00   81.76
22:38:06     all    4.27    0.00    1.51    0.00    0.38    0.25    0.00    0.00    0.00   93.60
22:38:07     all    5.37    0.00    2.12    0.00    0.50    0.75    0.00    0.00    0.00   91.26
22:38:08     all    4.28    0.00    1.51    0.13    0.38    0.25    0.00    0.00    0.00   93.46
22:38:09     all    5.24    0.00    2.50    0.25    0.62    0.50    0.00    0.00    0.00   90.89
